"","Region","Item Code","Model","Yearmonth","model","Volume","Category","var","sigma","low80","high80","low90","high90"
"29","ADE","1239","ETS",2024 Sep,N(258, 8549),258.065381436944,"Middle",8549,92.4608025057105,139.530632624623,376.600130249265,105.96736131505,410.163401558838
"30","ADE","1239","ETS",2024 Oct,N(263, 8549),263.380846873002,"Middle",8549,92.4608025057105,144.846098060681,381.915595685323,111.282826751108,415.478866994895
"31","ADE","1239","ARIMA",2024 May,N(235, 9446),234.674720333349,"Middle",9446,97.1905345185425,110.076455080578,359.272985586121,74.7962910503467,394.553149616351
"32","ADE","1239","ARIMA",2024 Jun,N(235, 10115),234.674720333349,"Middle",10115,100.573356312693,105.739677540476,363.609763126222,69.2315491989683,400.11789146773
"33","ADE","1239","ARIMA",2024 Jul,N(235, 10784),234.674720333349,"Middle",10784,103.846039885977,101.544097199526,367.805343467172,63.8479847209163,405.501455945782
"34","ADE","1239","ARIMA",2024 Aug,N(235, 11453),234.674720333349,"Middle",11453,107.018689956474,97.4767598091489,371.872680857549,58.6289753549487,410.72046531175
"35","ADE","1239","ARIMA",2024 Sep,N(235, 12122),234.674720333349,"Middle",12122,110.09995458673,93.5265785531613,375.822862113537,53.5602950381783,415.78914562852
"36","ADE","1239","ARIMA",2024 Oct,N(235, 12791),234.674720333349,"Middle",12791,113.09730323929,89.6839775805788,379.665463086119,48.6296565047164,420.719784161982
"37","ADE","1246","ETS",2024 May,N(89, 7317),89.1688687977257,"Middle",7317,85.5394645762995,-20.4927247890903,198.830462384542,-51.5435504302871,229.881288025738
"38","ADE","1246","ETS",2024 Jun,N(89, 7434),89.1688687977257,"Middle",7434,86.2206471791995,-21.3660008860081,199.703738481459,-52.6640958120575,231.001833407509
"39","ADE","1246","ETS",2024 Jul,N(89, 7550),89.1688687977257,"Middle",7550,86.8907359849138,-22.2250547349339,200.562792330385,-53.7663918974576,232.104129492909
"40","ADE","1246","ETS",2024 Aug,N(89, 7667),89.1688687977257,"Middle",7667,87.561407023871,-23.0848550068769,201.422592602328,-54.8696457565421,233.207383351993
"41","ADE","1246","ETS",2024 Sep,N(89, 7783),89.1688687977257,"Middle",7783,88.2213126177569,-23.9308539782387,202.26859157369,-55.9551904584845,234.292928053936
"42","ADE","1246","ETS",2024 Oct,N(89, 7900),89.1688687977257,"Middle",7900,88.8819441731559,-24.7777836322602,203.115521227711,-57.0419293671158,235.379666962567
"43","ADE","1246","ARIMA",2024 May,N(83, 6351),83.4425756017204,"Middle",6351,79.6931615635871,-18.7240575227983,185.609208726239,-47.6526751703804,214.537826373821
"44","ADE","1246","ARIMA",2024 Jun,N(75, 6865),74.9056913972902,"Middle",6865,82.8552955459094,-31.3147974925657,181.126180287146,-61.3912697757308,211.202652570311
"45","ADE","1246","ARIMA",2024 Jul,N(86, 7301),85.7229413033458,"Middle",7301,85.4458893101359,-23.8186887922485,195.26457139894,-54.8355466118278,226.281429218519
"46","ADE","1246","ARIMA",2024 Aug,N(86, 7301),85.7229413033458,"Middle",7301,85.4458893101359,-23.8186887922485,195.26457139894,-54.8355466118278,226.281429218519
"47","ADE","1246","ARIMA",2024 Sep,N(86, 7301),85.7229413033458,"Middle",7301,85.4458893101359,-23.8186887922485,195.26457139894,-54.8355466118278,226.281429218519
"48","ADE","1246","ARIMA",2024 Oct,N(86, 7301),85.7229413033458,"Middle",7301,85.4458893101359,-23.8186887922485,195.26457139894,-54.8355466118278,226.281429218519
