"","Region","Item Code",".model","Yearmonth","Volume",".mean"
"142","ADE","1258","ARIMA",2024 Aug,N(0.63, 45),0.629039676306973
"143","ADE","1258","ARIMA",2024 Sep,N(0.41, 46),0.4098244326384
"144","ADE","1258","ARIMA",2024 Oct,N(0.33, 47),0.333570697395029
"145","ADE","1259","ETS",2024 May,N(48, 3111),47.6127406440766
"146","ADE","1259","ETS",2024 Jun,N(48, 3111),47.6127406440766
"147","ADE","1259","ETS",2024 Jul,N(48, 3111),47.6127406440766
"148","ADE","1259","ETS",2024 Aug,N(48, 3111),47.6127406440766
"149","ADE","1259","ETS",2024 Sep,N(48, 3111),47.6127406440766
"150","ADE","1259","ETS",2024 Oct,N(48, 3111),47.6127406440766
"151","ADE","1259","ARIMA",2024 May,N(48, 3037),47.5813953487812
"152","ADE","1259","ARIMA",2024 Jun,N(48, 3037),47.5813953487812
"153","ADE","1259","ARIMA",2024 Jul,N(48, 3037),47.5813953487812
"154","ADE","1259","ARIMA",2024 Aug,N(48, 3037),47.5813953487812
"155","ADE","1259","ARIMA",2024 Sep,N(48, 3037),47.5813953487812
"156","ADE","1259","ARIMA",2024 Oct,N(48, 3037),47.5813953487812
"157","ADE","1260","ETS",2024 May,N(2.5e-06, 11),2.53671663640792e-06
"158","ADE","1260","ETS",2024 Jun,N(2.5e-06, 18),2.53671663640792e-06
"159","ADE","1260","ETS",2024 Jul,N(2.5e-06, 25),2.53671663640792e-06
"160","ADE","1260","ETS",2024 Aug,N(2.5e-06, 32),2.53671663640792e-06
"161","ADE","1260","ETS",2024 Sep,N(2.5e-06, 39),2.53671663640792e-06
"162","ADE","1260","ETS",2024 Oct,N(2.5e-06, 45),2.53671663640792e-06
"163","ADE","1260","ARIMA",2024 May,N(1, 7.5),1.04393717466078
"164","ADE","1260","ARIMA",2024 Jun,N(3.1, 11),3.13181152398234
"165","ADE","1260","ARIMA",2024 Jul,N(0, 13),0
"166","ADE","1260","ARIMA",2024 Aug,N(0.52, 13),0.521968587330389
"167","ADE","1260","ARIMA",2024 Sep,N(0, 14),0
"168","ADE","1260","ARIMA",2024 Oct,N(0, 14),0
"169","ADE","1261","ETS",2024 May,N(196, 8389),195.599066845162
"170","ADE","1261","ETS",2024 Jun,N(196, 8417),195.599066845162
"171","ADE","1261","ETS",2024 Jul,N(196, 8446),195.599066845162
"172","ADE","1261","ETS",2024 Aug,N(196, 8474),195.599066845162
"173","ADE","1261","ETS",2024 Sep,N(196, 8502),195.599066845162
"174","ADE","1261","ETS",2024 Oct,N(196, 8530),195.599066845162
"175","ADE","1261","ARIMA",2024 May,N(204, 8421),204.215183990259
"176","ADE","1261","ARIMA",2024 Jun,N(204, 8486),204.215183990259
"177","ADE","1261","ARIMA",2024 Jul,N(204, 8551),204.215183990259
"178","ADE","1261","ARIMA",2024 Aug,N(204, 8616),204.215183990259
"179","ADE","1261","ARIMA",2024 Sep,N(204, 8681),204.215183990259
"180","ADE","1261","ARIMA",2024 Oct,N(204, 8746),204.215183990259
"181","ADE","1262","ETS",2024 May,N(15, 3373),15.1685639441589
"182","ADE","1262","ETS",2024 Jun,N(15, 3373),15.1685639441589
"183","ADE","1262","ETS",2024 Jul,N(15, 3373),15.1685639441589
"184","ADE","1262","ETS",2024 Aug,N(15, 3373),15.1685639441589
"185","ADE","1262","ETS",2024 Sep,N(15, 3373),15.1685639441589
"186","ADE","1262","ETS",2024 Oct,N(15, 3373),15.1685639441589
"187","ADE","1262","ARIMA",2024 May,N(-9.5, 1983),-9.45391049119417
"188","ADE","1262","ARIMA",2024 Jun,N(0, 3645),0
"189","ADE","1262","ARIMA",2024 Jul,N(0, 3645),0
"190","ADE","1262","ARIMA",2024 Aug,N(0, 3645),0
"191","ADE","1262","ARIMA",2024 Sep,N(0, 3645),0
"192","ADE","1262","ARIMA",2024 Oct,N(0, 3645),0
"193","ADE","1263","ETS",2024 May,N(78, 4480),77.64503953857
"194","ADE","1263","ETS",2024 Jun,N(78, 7033),77.64503953857
"195","ADE","1263","ETS",2024 Jul,N(78, 9586),77.64503953857
"196","ADE","1263","ETS",2024 Aug,N(78, 12139),77.64503953857
"197","ADE","1263","ETS",2024 Sep,N(78, 14692),77.64503953857
"198","ADE","1263","ETS",2024 Oct,N(78, 17245),77.64503953857
"199","ADE","1263","ARIMA",2024 May,N(90, 3886),90.0198536322262
"200","ADE","1263","ARIMA",2024 Jun,N(96, 6256),95.5915232039956
"201","ADE","1263","ARIMA",2024 Jul,N(101, 7700),101.140758225833
"202","ADE","1263","ARIMA",2024 Aug,N(93, 8580),93.4068078190007
"203","ADE","1263","ARIMA",2024 Sep,N(55, 9117),54.5058248725023
"204","ADE","1263","ARIMA",2024 Oct,N(60, 9444),60.2341324604208
"205","ADE","1264","ETS",2024 May,N(44, 365),44.3140575055035
"206","ADE","1264","ETS",2024 Jun,N(42, 342),42.1048852332527
"207","ADE","1264","ETS",2024 Jul,N(46, 432),46.4981404927516
"208","ADE","1264","ETS",2024 Aug,N(78, 1269),78.3898545368197
"209","ADE","1264","ETS",2024 Sep,N(97, 1999),96.7744795390591
"210","ADE","1264","ETS",2024 Oct,N(110, 2661),109.886282617998
"211","ADE","1264","ARIMA",2024 May,N(89, 1357),89.4399684669572
"212","ADE","1264","ARIMA",2024 Jun,N(76, 1831),75.8772984735187
"213","ADE","1264","ARIMA",2024 Jul,N(76, 1831),75.8772984735187
"214","ADE","1264","ARIMA",2024 Aug,N(76, 1831),75.8772984735187
"215","ADE","1264","ARIMA",2024 Sep,N(76, 1831),75.8772984735187
"216","ADE","1264","ARIMA",2024 Oct,N(76, 1831),75.8772984735187
"217","ADE","1271","ETS",2024 May,N(1220, 674955),1219.7316121768
"218","ADE","1271","ETS",2024 Jun,N(1220, 710467),1219.7316121768
"219","ADE","1271","ETS",2024 Jul,N(1220, 745978),1219.7316121768
"220","ADE","1271","ETS",2024 Aug,N(1220, 781490),1219.7316121768
"221","ADE","1271","ETS",2024 Sep,N(1220, 817002),1219.7316121768
"222","ADE","1271","ETS",2024 Oct,N(1220, 852514),1219.7316121768
"223","ADE","1271","ARIMA",2024 May,N(1206, 675406),1206.1450564991
"224","ADE","1271","ARIMA",2024 Jun,N(1206, 716121),1206.1450564991
"225","ADE","1271","ARIMA",2024 Jul,N(1206, 756837),1206.1450564991
"226","ADE","1271","ARIMA",2024 Aug,N(1206, 8e+05),1206.1450564991
"227","ADE","1271","ARIMA",2024 Sep,N(1206, 838267),1206.1450564991
"228","ADE","1271","ARIMA",2024 Oct,N(1206, 878982),1206.1450564991
"229","ADE","1272","ETS",2024 May,N(251, 17205),251.218378110297
"230","ADE","1272","ETS",2024 Jun,N(251, 20923),251.218378110297
"231","ADE","1272","ETS",2024 Jul,N(251, 24641),251.218378110297
"232","ADE","1272","ETS",2024 Aug,N(251, 28360),251.218378110297
"233","ADE","1272","ETS",2024 Sep,N(251, 32078),251.218378110297
"234","ADE","1272","ETS",2024 Oct,N(251, 35796),251.218378110297
"235","ADE","1272","ARIMA",2024 May,N(219, 14764),219.161555231408
"236","ADE","1272","ARIMA",2024 Jun,N(183, 22714),183.036252435328
"237","ADE","1272","ARIMA",2024 Jul,N(205, 36500),204.892262910732
"238","ADE","1272","ARIMA",2024 Aug,N(126, 45100),125.792934802776
"239","ADE","1272","ARIMA",2024 Sep,N(62, 58162),62.0901451431829
"240","ADE","1272","ARIMA",2024 Oct,N(140, 67275),140.153970787103
"241","ADE","1273","ETS",2024 May,N(303, 37609),303.067764074481
"242","ADE","1273","ETS",2024 Jun,N(303, 40123),303.067764074481
"243","ADE","1273","ETS",2024 Jul,N(303, 42636),303.067764074481
"244","ADE","1273","ETS",2024 Aug,N(303, 45149),303.067764074481
"245","ADE","1273","ETS",2024 Sep,N(303, 47662),303.067764074481
"246","ADE","1273","ETS",2024 Oct,N(303, 50175),303.067764074481
"247","ADE","1273","ARIMA",2024 May,N(299, 37631),298.794989112199
"248","ADE","1273","ARIMA",2024 Jun,N(299, 40462),298.794989112199
"249","ADE","1273","ARIMA",2024 Jul,N(299, 43292),298.794989112199
"250","ADE","1273","ARIMA",2024 Aug,N(299, 46123),298.794989112199
"251","ADE","1273","ARIMA",2024 Sep,N(299, 48954),298.794989112199
"252","ADE","1273","ARIMA",2024 Oct,N(299, 51784),298.794989112199
"253","ADE","1274","ETS",2024 May,N(119, 5900),118.518031608484
"254","ADE","1274","ETS",2024 Jun,N(119, 6395),118.518031608484
"255","ADE","1274","ETS",2024 Jul,N(119, 6889),118.518031608484
"256","ADE","1274","ETS",2024 Aug,N(119, 7384),118.518031608484
"257","ADE","1274","ETS",2024 Sep,N(119, 7878),118.518031608484
"258","ADE","1274","ETS",2024 Oct,N(119, 8373),118.518031608484
"259","ADE","1274","ARIMA",2024 May,N(121, 5699),120.771564647583
"260","ADE","1274","ARIMA",2024 Jun,N(100, 5801),99.8849421981442
"261","ADE","1274","ARIMA",2024 Jul,N(100, 6791),99.8849421981442
"262","ADE","1274","ARIMA",2024 Aug,N(100, 7782),99.8849421981442
"263","ADE","1274","ARIMA",2024 Sep,N(100, 8772),99.8849421981442
"264","ADE","1274","ARIMA",2024 Oct,N(100, 9762),99.8849421981442
"265","BRI","1234","ETS",2024 May,N(5125, 4943118),5125.14516298808
"266","BRI","1234","ETS",2024 Jun,N(5125, 4943118),5125.14516298808
"267","BRI","1234","ETS",2024 Jul,N(5125, 4943118),5125.14516298808
"268","BRI","1234","ETS",2024 Aug,N(5125, 4943118),5125.14516298808
"269","BRI","1234","ETS",2024 Sep,N(5125, 4943118),5125.14516298808
"270","BRI","1234","ETS",2024 Oct,N(5125, 4943118),5125.14516298808
"271","BRI","1234","ARIMA",2024 May,N(5128, 4824355),5128.30232558139
"272","BRI","1234","ARIMA",2024 Jun,N(5128, 4824355),5128.30232558139
"273","BRI","1234","ARIMA",2024 Jul,N(5128, 4824355),5128.30232558139
"274","BRI","1234","ARIMA",2024 Aug,N(5128, 4824355),5128.30232558139
"275","BRI","1234","ARIMA",2024 Sep,N(5128, 4824355),5128.30232558139
"276","BRI","1234","ARIMA",2024 Oct,N(5128, 4824355),5128.30232558139
"277","BRI","1235","ETS",2024 May,N(322, 10847),321.66984184577
"278","BRI","1235","ETS",2024 Jun,N(322, 12051),321.66984184577
"279","BRI","1235","ETS",2024 Jul,N(322, 13268),321.66984184577
"280","BRI","1235","ETS",2024 Aug,N(322, 14498),321.66984184577
"281","BRI","1235","ETS",2024 Sep,N(322, 15741),321.66984184577
"282","BRI","1235","ETS",2024 Oct,N(322, 16996),321.66984184577
"283","BRI","1235","ARIMA",2024 May,N(323, 33629),323.271042376151
"284","BRI","1235","ARIMA",2024 Jun,N(327, 50304),327.078362488244
"285","BRI","1235","ARIMA",2024 Jul,N(327, 55180),327.078362488244
"286","BRI","1235","ARIMA",2024 Aug,N(327, 60057),327.078362488244
"287","BRI","1235","ARIMA",2024 Sep,N(327, 64933),327.078362488244
"288","BRI","1235","ARIMA",2024 Oct,N(327, 69809),327.078362488244
"289","BRI","1236","ETS",2024 May,N(372, 21976),371.774390268896
"290","BRI","1236","ETS",2024 Jun,N(372, 42126),371.774390268896
"291","BRI","1236","ETS",2024 Jul,N(372, 64810),371.774390268896
"292","BRI","1236","ETS",2024 Aug,N(372, 90347),371.774390268896
"293","BRI","1236","ETS",2024 Sep,N(372, 119097),371.774390268896
"294","BRI","1236","ETS",2024 Oct,N(372, 151463),371.774390268896
"295","BRI","1236","ARIMA",2024 May,N(468, 3e+05),467.818749751
"296","BRI","1236","ARIMA",2024 Jun,N(468, 312978),467.818749751
"297","BRI","1236","ARIMA",2024 Jul,N(468, 322759),467.818749751
"298","BRI","1236","ARIMA",2024 Aug,N(468, 332540),467.818749751
"299","BRI","1236","ARIMA",2024 Sep,N(468, 342321),467.818749751
"300","BRI","1236","ARIMA",2024 Oct,N(468, 352102),467.818749751
"301","BRI","1238","ETS",2024 May,N(4620, 4677209),4619.77360726265
"302","BRI","1238","ETS",2024 Jun,N(4620, 4677209),4619.77360726265
"303","BRI","1238","ETS",2024 Jul,N(4620, 4677209),4619.77360726265
"304","BRI","1238","ETS",2024 Aug,N(4620, 4677209),4619.77360726265
"305","BRI","1238","ETS",2024 Sep,N(4620, 4677209),4619.77360726265
"306","BRI","1238","ETS",2024 Oct,N(4620, 4677209),4619.77360726265
"307","BRI","1238","ARIMA",2024 May,N(4875, 4163877),4875.23771384068
"308","BRI","1238","ARIMA",2024 Jun,N(4653, 4829295),4652.90564687015
"309","BRI","1238","ARIMA",2024 Jul,N(4653, 4829295),4652.90564687015
"310","BRI","1238","ARIMA",2024 Aug,N(4653, 4829295),4652.90564687015
"311","BRI","1238","ARIMA",2024 Sep,N(4653, 4829295),4652.90564687015
"312","BRI","1238","ARIMA",2024 Oct,N(4653, 4829295),4652.90564687015
